[2019-10-13 13:02:42,751], ## Epoch 118/500 Loss:91.727, MAE:131.82, MSE:189.97, Best MAE:117.23
[2019-10-13 13:03:31,747], ## Epoch 119/500 Loss:84.739, MAE:119.27, MSE:188.45, Best MAE:117.23
[2019-10-13 13:04:21,108], ## Epoch 120/500 Loss:90.375, MAE:130.02, MSE:194.36, Best MAE:117.23
[2019-10-13 13:05:10,349], ## Epoch 121/500 Loss:80.932, MAE:119.76, MSE:182.70, Best MAE:117.23
[2019-10-13 13:05:59,724], ## Epoch 122/500 Loss:85.153, MAE:117.53, MSE:184.68, Best MAE:117.23
[2019-10-13 13:06:49,320], ## Epoch 123/500 Loss:92.490, MAE:126.86, MSE:185.42, Best MAE:117.23
[2019-10-13 13:07:38,648], ## Epoch 124/500 Loss:88.047, MAE:118.74, MSE:183.30, Best MAE:117.23
[2019-10-13 13:08:28,346], ## Epoch 125/500 Loss:76.568, MAE:117.34, MSE:180.94, Best MAE:117.23
[2019-10-13 13:09:17,773], ## Epoch 126/500 Loss:80.426, MAE:123.85, MSE:185.64, Best MAE:117.23
[2019-10-13 13:10:06,830], ## Epoch 127/500 Loss:81.759, MAE:117.66, MSE:184.34, Best MAE:117.23
[2019-10-13 13:10:56,240], ## Epoch 128/500 Loss:90.137, MAE:157.32, MSE:217.00, Best MAE:117.23
[2019-10-13 13:11:45,302], ## Epoch 129/500 Loss:93.362, MAE:123.91, MSE:190.41, Best MAE:117.23
[2019-10-13 13:12:34,794], ## Epoch 130/500 Loss:83.528, MAE:135.28, MSE:205.64, Best MAE:117.23
[2019-10-13 13:13:24,301], ## Epoch 131/500 Loss:87.878, MAE:128.43, MSE:200.77, Best MAE:117.23
[2019-10-13 13:14:13,945], ## Epoch 132/500 Loss:91.009, MAE:126.78, MSE:186.89, Best MAE:117.23
[2019-10-13 13:15:03,606], ## Epoch 133/500 Loss:87.902, MAE:125.89, MSE:188.89, Best MAE:117.23
[2019-10-13 13:15:53,920], ## Epoch 134/500 Loss:85.342, MAE:137.28, MSE:207.36, Best MAE:117.23
[2019-10-13 13:16:43,400], ## Epoch 135/500 Loss:88.228, MAE:137.35, MSE:198.63, Best MAE:117.23
[2019-10-13 13:17:33,135], ## Epoch 136/500 Loss:85.153, MAE:159.19, MSE:222.32, Best MAE:117.23
[2019-10-13 13:18:22,757], ## Epoch 137/500 Loss:78.976, MAE:224.21, MSE:305.18, Best MAE:117.23
[2019-10-13 13:19:11,699], ## Epoch 138/500 Loss:82.832, MAE:113.74, MSE:178.35, Best MAE:117.23
[2019-10-13 13:20:01,476], ## Epoch 139/500 Loss:81.563, MAE:132.05, MSE:197.78, Best MAE:113.74
[2019-10-13 13:20:50,857], ## Epoch 140/500 Loss:82.901, MAE:223.23, MSE:310.22, Best MAE:113.74
[2019-10-13 13:21:40,419], ## Epoch 141/500 Loss:85.285, MAE:119.61, MSE:178.99, Best MAE:113.74
[2019-10-13 13:22:29,763], ## Epoch 142/500 Loss:82.994, MAE:120.00, MSE:183.14, Best MAE:113.74
[2019-10-13 13:23:18,765], ## Epoch 143/500 Loss:71.790, MAE:120.50, MSE:186.07, Best MAE:113.74
[2019-10-13 13:24:08,028], ## Epoch 144/500 Loss:78.196, MAE:121.66, MSE:184.36, Best MAE:113.74
[2019-10-13 13:24:57,554], ## Epoch 145/500 Loss:78.255, MAE:108.61, MSE:167.01, Best MAE:113.74
[2019-10-13 13:25:47,095], ## Epoch 146/500 Loss:85.208, MAE:121.87, MSE:196.14, Best MAE:108.61
[2019-10-13 13:26:36,224], ## Epoch 147/500 Loss:82.906, MAE:142.48, MSE:203.23, Best MAE:108.61
[2019-10-13 13:27:25,453], ## Epoch 148/500 Loss:76.254, MAE:125.06, MSE:186.89, Best MAE:108.61
[2019-10-13 13:28:14,661], ## Epoch 149/500 Loss:82.506, MAE:121.59, MSE:176.98, Best MAE:108.61
[2019-10-13 13:29:03,999], ## Epoch 150/500 Loss:80.188, MAE:111.18, MSE:172.20, Best MAE:108.61
[2019-10-13 13:29:53,412], ## Epoch 151/500 Loss:90.367, MAE:206.71, MSE:281.39, Best MAE:108.61
[2019-10-13 13:30:42,606], ## Epoch 152/500 Loss:74.666, MAE:167.31, MSE:226.47, Best MAE:108.61
[2019-10-13 13:31:31,747], ## Epoch 153/500 Loss:89.152, MAE:120.24, MSE:187.64, Best MAE:108.61
[2019-10-13 13:32:21,100], ## Epoch 154/500 Loss:74.874, MAE:116.84, MSE:174.62, Best MAE:108.61
[2019-10-13 13:33:09,775], ## Epoch 155/500 Loss:79.343, MAE:124.17, MSE:197.71, Best MAE:108.61
[2019-10-13 13:33:59,002], ## Epoch 156/500 Loss:83.975, MAE:122.56, MSE:193.40, Best MAE:108.61
[2019-10-13 13:34:48,081], ## Epoch 157/500 Loss:82.724, MAE:132.09, MSE:200.86, Best MAE:108.61
[2019-10-13 13:35:37,442], ## Epoch 158/500 Loss:83.945, MAE:112.33, MSE:168.63, Best MAE:108.61
[2019-10-13 13:36:27,142], ## Epoch 159/500 Loss:77.675, MAE:156.34, MSE:219.12, Best MAE:108.61
[2019-10-13 13:37:16,111], ## Epoch 160/500 Loss:79.037, MAE:120.08, MSE:180.35, Best MAE:108.61
[2019-10-13 13:38:05,591], ## Epoch 161/500 Loss:73.047, MAE:143.57, MSE:215.44, Best MAE:108.61
[2019-10-13 13:38:55,131], ## Epoch 162/500 Loss:85.285, MAE:119.00, MSE:178.19, Best MAE:108.61
[2019-10-13 13:39:44,968], ## Epoch 163/500 Loss:86.915, MAE:124.57, MSE:187.01, Best MAE:108.61
[2019-10-13 13:40:34,351], ## Epoch 164/500 Loss:72.841, MAE:139.61, MSE:205.31, Best MAE:108.61
[2019-10-13 13:41:23,815], ## Epoch 165/500 Loss:81.754, MAE:123.32, MSE:184.15, Best MAE:108.61
[2019-10-13 13:42:12,793], ## Epoch 166/500 Loss:91.907, MAE:152.13, MSE:213.00, Best MAE:108.61
[2019-10-13 13:43:01,983], ## Epoch 167/500 Loss:77.873, MAE:150.30, MSE:210.23, Best MAE:108.61
[2019-10-13 13:43:51,419], ## Epoch 168/500 Loss:82.875, MAE:125.72, MSE:184.06, Best MAE:108.61
[2019-10-13 13:44:41,261], ## Epoch 169/500 Loss:81.127, MAE:111.56, MSE:170.45, Best MAE:108.61
[2019-10-13 13:45:30,104], ## Epoch 170/500 Loss:77.736, MAE:114.34, MSE:175.29, Best MAE:108.61
