[2019-10-12 19:04:41,609], ## Epoch 99/500 Loss:109.246, MAE:167.81, MSE:237.79, Best MAE:125.94
[2019-10-12 19:05:31,474], ## Epoch 100/500 Loss:101.802, MAE:124.97, MSE:193.30, Best MAE:125.94
[2019-10-12 19:06:21,977], ## Epoch 101/500 Loss:99.505, MAE:253.05, MSE:362.42, Best MAE:124.97
[2019-10-12 19:07:11,539], ## Epoch 102/500 Loss:95.761, MAE:141.07, MSE:203.27, Best MAE:124.97
[2019-10-12 19:08:01,201], ## Epoch 103/500 Loss:90.538, MAE:162.88, MSE:229.79, Best MAE:124.97
[2019-10-12 19:08:51,156], ## Epoch 104/500 Loss:96.189, MAE:176.16, MSE:239.37, Best MAE:124.97
[2019-10-12 19:09:40,935], ## Epoch 105/500 Loss:104.357, MAE:125.94, MSE:197.63, Best MAE:124.97
[2019-10-12 19:10:30,631], ## Epoch 106/500 Loss:96.326, MAE:127.86, MSE:200.31, Best MAE:124.97
[2019-10-12 19:11:21,021], ## Epoch 107/500 Loss:97.254, MAE:125.13, MSE:196.54, Best MAE:124.97
[2019-10-12 19:12:10,770], ## Epoch 108/500 Loss:96.546, MAE:204.89, MSE:300.86, Best MAE:124.97
[2019-10-12 19:13:00,030], ## Epoch 109/500 Loss:107.442, MAE:122.75, MSE:191.72, Best MAE:124.97
[2019-10-12 19:13:50,018], ## Epoch 110/500 Loss:104.223, MAE:119.85, MSE:189.29, Best MAE:122.75
[2019-10-12 19:14:40,265], ## Epoch 111/500 Loss:93.415, MAE:158.20, MSE:235.88, Best MAE:119.85
[2019-10-12 19:15:30,082], ## Epoch 112/500 Loss:91.250, MAE:176.83, MSE:262.62, Best MAE:119.85
[2019-10-12 19:16:20,032], ## Epoch 113/500 Loss:97.322, MAE:134.61, MSE:213.25, Best MAE:119.85
[2019-10-12 19:17:09,415], ## Epoch 114/500 Loss:97.955, MAE:135.60, MSE:215.53, Best MAE:119.85
[2019-10-12 19:17:59,256], ## Epoch 115/500 Loss:98.371, MAE:123.49, MSE:191.97, Best MAE:119.85
[2019-10-12 19:18:49,234], ## Epoch 116/500 Loss:86.289, MAE:121.31, MSE:190.30, Best MAE:119.85
[2019-10-12 19:19:38,829], ## Epoch 117/500 Loss:93.757, MAE:127.06, MSE:193.13, Best MAE:119.85
[2019-10-12 19:20:28,265], ## Epoch 118/500 Loss:99.531, MAE:135.38, MSE:215.11, Best MAE:119.85
[2019-10-12 19:21:17,567], ## Epoch 119/500 Loss:89.178, MAE:122.99, MSE:188.48, Best MAE:119.85
[2019-10-12 19:22:07,005], ## Epoch 120/500 Loss:102.699, MAE:138.23, MSE:207.74, Best MAE:119.85
[2019-10-12 19:22:56,677], ## Epoch 121/500 Loss:100.203, MAE:164.49, MSE:232.85, Best MAE:119.85
[2019-10-12 19:23:45,999], ## Epoch 122/500 Loss:93.408, MAE:121.67, MSE:191.01, Best MAE:119.85
[2019-10-12 19:24:35,217], ## Epoch 123/500 Loss:100.409, MAE:126.12, MSE:202.49, Best MAE:119.85
[2019-10-12 19:25:25,171], ## Epoch 124/500 Loss:103.533, MAE:120.77, MSE:190.36, Best MAE:119.85
[2019-10-12 19:26:14,781], ## Epoch 125/500 Loss:103.345, MAE:151.73, MSE:244.26, Best MAE:119.85
[2019-10-12 19:27:04,399], ## Epoch 126/500 Loss:103.064, MAE:126.24, MSE:189.51, Best MAE:119.85
